symbol,price
NANOETH,0.00139800
NANOBNB,0.05589000
VIABTC,0.00000681
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000431
BLZETH,0.00006800
BLZBNB,0.00062190
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000065
NCASHBNB,0.00006790
POABTC,0.00000066
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000163
ZILETH,0.00002568
ZILBNB,0.00021330
ONTBTC,0.00001570
ONTETH,0.00024800
ONTBNB,0.00246200
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.00006550
QTUMBNB,0.09597000
QTUMUSDT,12.78500000
XEMBTC,0.00000286
XEMETH,0.00004499
XEMBNB,0.00244100
WANBTC,0.00001534
WANETH,0.00024170
WANBNB,0.00181000
WPRBTC,0.00000027
WPRETH,0.00004020
QLCBTC,0.00000059
QLCETH,0.00000933
SYSBTC,0.00000455
SYSETH,0.00011047
SYSBNB,0.00163500
QLCBNB,0.00092200
GRSBTC,0.00001606
GRSETH,0.00076455
ADAUSDT,2.19100000
ADABNB,0.00469300
CLOAKBTC,0.00015550
CLOAKETH,0.00414200
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.00243900
LOOMBTC,0.00000176
LOOMETH,0.00002777
LOOMBNB,0.00088500
XRPUSDT,1.14610000
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002000
REPBTC,0.00039280
REPETH,0.00622600
REPBNB,0.44670000
BTCTUSD,60997.24000000
TUSDBTC,0.00025971
ETHTUSD,3862.00000000
TUSDETH,0.00762097
TUSDBNB,0.06777000
ZENBTC,0.00129400
ZENETH,0.02046000
ZENBNB,0.16930000
SKYBTC,0.00001901
SKYETH,0.00222000
SKYBNB,0.03022000
EOSUSDT,4.59400000
EOSBNB,0.00983000
CVCBTC,0.00000793
CVCETH,0.00012520
CVCBNB,0.00211200
THETABTC,0.00010120
THETAETH,0.00159900
THETABNB,0.01322000
XRPBNB,0.00245400
TUSDUSDT,1.00000000
IOTAUSDT,1.33090000
XLMUSDT,0.41380000
IOTXBTC,0.00000116
IOTXETH,0.00001828
QKCBTC,0.00000050
QKCETH,0.00000776
AGIBTC,0.00000668
AGIETH,0.00007363
AGIBNB,0.00077200
NXSBTC,0.00001078
NXSETH,0.00077300
NXSBNB,0.01087000
ENJBNB,0.00367600
DATABTC,0.00000239
DATAETH,0.00003772
ONTUSDT,0.95740000
TRXBNB,0.00021190
TRXUSDT,0.09899000
ETCUSDT,54.56000000
ETCBNB,0.11690000
ICXUSDT,2.02200000
SCBTC,0.00000030
SCETH,0.00000475
SCBNB,0.00003928
NPXSBTC,0.00000003
NPXSETH,0.00000345
VENUSDT,0.00010000
KEYBTC,0.00000013
KEYETH,0.00000241
NASBTC,0.00000680
NASETH,0.00010810
NASBNB,0.02337000
MFTBTC,0.00000008
MFTETH,0.00000334
MFTBNB,0.00002766
DENTBTC,0.00000004
DENTETH,0.00000148
ARDRBTC,0.00000524
ARDRETH,0.00018870
ARDRBNB,0.00316800
NULSUSDT,0.58920000
HOTBTC,0.00000002
HOTETH,0.00000238
VETBTC,0.00000197
VETETH,0.00003112
VETUSDT,0.12022000
VETBNB,0.00025770
DOCKBTC,0.00000137
DOCKETH,0.00003283
POLYBTC,0.00001159
POLYBNB,0.00145900
PHXBTC,0.00000180
PHXETH,0.00005617
PHXBNB,0.00045600
HCBTC,0.00002000
HCETH,0.00513400
GOBTC,0.00000059
GOBNB,0.00069230
PAXBTC,0.00025175
PAXBNB,0.20121000
PAXUSDT,0.99960000
PAXETH,0.00888047
RVNBTC,0.00000180
RVNBNB,0.00023560
DCRBTC,0.00197100
DCRBNB,0.78100000
USDCBNB,0.21755000
MITHBTC,0.00000084
MITHBNB,0.00010920
BCHABCBTC,0.02933000
BCHSVBTC,0.01117900
BCHABCUSDT,220.08000000
BCHSVUSDT,58.90000000
BNBPAX,495.10000000
BTCPAX,51529.15000000
ETHPAX,3904.41000000
XRPPAX,0.88960000
EOSPAX,2.58450000
XLMPAX,0.04221000
RENBTC,0.00001672
RENBNB,0.00458500
BNBTUSD,465.70000000
XRPTUSD,1.14360000
EOSTUSD,4.11590000
XLMTUSD,0.06833000
BNBUSDC,467.00000000
BTCUSDC,60982.85000000
ETHUSDC,3863.12000000
XRPUSDC,1.14540000
EOSUSDC,4.59500000
XLMUSDC,0.04970000
USDCUSDT,1.00010000
ADATUSD,2.19300000
TRXTUSD,0.09892000
NEOTUSD,11.81800000
TRXXRP,0.08636000
XZCXRP,20.79200000
PAXTUSD,0.99950000
USDCTUSD,1.00000000
USDCPAX,1.00020000
LINKUSDT,27.81000000
LINKTUSD,28.87000000
LINKPAX,3.98340000
LINKUSDC,27.83000000
WAVESUSDT,29.43000000
WAVESTUSD,1.07200000
WAVESPAX,0.80290000
WAVESUSDC,1.20360000
BCHABCTUSD,220.20000000
BCHABCPAX,221.20000000
BCHABCUSDC,220.30000000
BCHSVTUSD,59.17000000
BCHSVPAX,58.18000000
BCHSVUSDC,57.50000000
LTCTUSD,186.40000000
LTCPAX,171.13000000
LTCUSDC,187.10000000
TRXPAX,0.07661000
TRXUSDC,0.09896000
BTTBTC,0.00000005
BTTBNB,0.00000777
BTTUSDT,0.00363100
BNBUSDS,22.27880000
BTCUSDS,9604.59000000
USDSUSDT,0.99680000
USDSPAX,1.00020000
USDSTUSD,1.00000000
USDSUSDC,1.00000000
BTTPAX,0.00038660
BTTTUSD,0.00363300
BTTUSDC,0.00364100
ONGBNB,0.00545000
ONGBTC,0.00001908
ONGUSDT,1.16360000
HOTBNB,0.00001971
HOTUSDT,0.00921000
ZILUSDT,0.09920000
ZRXBNB,0.01045000
ZRXUSDT,1.00780000
FETBNB,0.00168200
FETBTC,0.00001288
FETUSDT,0.78500000
BATUSDT,0.70680000
XMRBNB,0.57640000
XMRUSDT,268.60000000
ZECBNB,0.26930000
ZECUSDT,126.50000000
ZECPAX,42.10000000
ZECTUSD,51.48000000
ZECUSDC,126.60000000
IOSTBNB,0.00011255
IOSTUSDT,0.05253000
CELRBNB,0.00029960
CELRBTC,0.00000230
CELRUSDT,0.13992000
ADAPAX,0.03257000
ADAUSDC,2.19100000
NEOPAX,11.12200000
NEOUSDC,44.60000000
DASHBNB,0.41170000
DASHUSDT,193.00000000
NANOUSDT,5.39600000
OMGBNB,0.03938000
OMGUSDT,14.07500000
THETAUSDT,6.17900000
ENJUSDT,1.71400000
MITHUSDT,0.05113000
MATICBNB,0.00328000
MATICBTC,0.00002509
MATICUSDT,1.53000000
ATOMBNB,0.07158000
ATOMBTC,0.00054680
ATOMUSDT,33.38000000
ATOMUSDC,33.48000000
ATOMPAX,3.17800000
ATOMTUSD,2.59800000
ETCUSDC,4.71000000
ETCPAX,4.83800000
ETCTUSD,3.79500000
BATUSDC,0.63130000
BATPAX,0.25560000
BATTUSD,0.22220000
PHBBNB,0.00013700
PHBBTC,0.00000017
PHBUSDC,0.00587000
PHBTUSD,0.01030000
PHBPAX,0.00639000
TFUELBNB,0.00012590
TFUELBTC,0.00000467
TFUELUSDT,0.28460000
TFUELUSDC,0.00356500
TFUELTUSD,0.00307700
TFUELPAX,0.00348700
ONEBNB,0.00046240
ONEBTC,0.00000354
ONEUSDT,0.21550000
ONETUSD,0.00472000
ONEPAX,0.00496000
ONEUSDC,0.00520000
FTMBNB,0.00439300
FTMBTC,0.00003360
FTMUSDT,2.04940000
FTMTUSD,0.01095000
FTMPAX,0.01028000
FTMUSDC,0.01107000
BTCBBTC,1.00000000
BCPTTUSD,0.02606000
BCPTPAX,0.02761000
BCPTUSDC,0.02728000
ALGOBNB,0.00387500
ALGOBTC,0.00002968
ALGOUSDT,1.80910000
ALGOTUSD,1.01700000
ALGOPAX,0.20390000
ALGOUSDC,0.23800000
USDSBUSDT,0.99970000
USDSBUSDS,0.99990000
GTOUSDT,0.04365000
GTOPAX,0.01361000
GTOTUSD,0.01236000
GTOUSDC,0.01196000
ERDBNB,0.00083273
ERDBTC,0.00000168
ERDUSDT,0.01971000
ERDPAX,0.00125270
ERDUSDC,0.00135730
DOGEBNB,0.00015270
DOGEBTC,0.00000389
DOGEUSDT,0.23720000
DOGEPAX,0.00216820
DOGEUSDC,0.00212770
DUSKBNB,0.00118000
DUSKBTC,0.00000297
DUSKUSDT,0.18090000
DUSKUSDC,0.01790000
DUSKPAX,0.01890000
BGBPUSDC,1.39000000
ANKRBNB,0.00019440
ANKRBTC,0.00000149
ANKRUSDT,0.09053000
ANKRTUSD,0.00212800
ANKRPAX,0.00209300
ANKRUSDC,0.00209700
ONTPAX,0.84510000
ONTUSDC,0.57080000
WINBNB,0.00000125
WINBTC,0.00000001
WINUSDT,0.00058260
WINUSDC,0.00058070
COSBNB,0.00004855
COSBTC,0.00000038
COSUSDT,0.02265000
TUSDBTUSD,0.99750000
NPXSUSDT,0.00703010
NPXSUSDC,0.00017020
COCOSBNB,0.00138600
COCOSBTC,0.00000003
COCOSUSDT,0.64880000
MTLUSDT,3.23400000
TOMOBNB,0.03255000
TOMOBTC,0.00003916
TOMOUSDT,2.39000000
TOMOUSDC,0.36700000
PERLBNB,0.00019590
PERLBTC,0.00000151
PERLUSDC,0.02447000
PERLUSDT,0.09140000
DENTUSDT,0.00571400
MFTUSDT,0.01292900
KEYUSDT,0.00929500
STORMUSDT,0.00339700
DOCKUSDT,0.08398000
WANUSDT,0.93410000
FUNUSDT,0.02081000
CVCUSDT,0.48280000
BTTTRX,0.03666000
WINTRX,0.00587700
CHZBNB,0.00069300
CHZBTC,0.00000530
CHZUSDT,0.32350000
BANDBNB,0.02248000
BANDBTC,0.00014240
BANDUSDT,8.68700000
BNBBUSD,466.80000000
BTCBUSD,60978.85000000
BUSDUSDT,1.00000000
BEAMBNB,0.02177000
BEAMBTC,0.00001335
BEAMUSDT,0.81350000
XTZBNB,0.01478100
XTZBTC,0.00011301
XTZUSDT,6.89600000
RENUSDT,1.01850000
RVNUSDT,0.10981000
HCUSDT,0.84230000
HBARBNB,0.00079860
HBARBTC,0.00000611
HBARUSDT,0.37250000
NKNBNB,0.00074700
NKNBTC,0.00000810
NKNUSDT,0.49330000
XRPBUSD,1.14610000
ETHBUSD,3861.94000000
BCHABCBUSD,220.16000000
LTCBUSD,187.10000000
LINKBUSD,27.82000000
ETCBUSD,54.57000000
STXBNB,0.00418200
STXBTC,0.00003201
STXUSDT,1.95000000
KAVABNB,0.01232000
KAVABTC,0.00009420
KAVAUSDT,5.74400000
BUSDNGN,462.64000000
BNBNGN,43608.00000000
BTCNGN,33655783.00000000
ARPABNB,0.00027060
ARPABTC,0.00000207
ARPAUSDT,0.12630000
TRXBUSD,0.09901000
EOSBUSD,4.59400000
IOTXUSDT,0.07049000
RLCUSDT,4.68200000
MCOUSDT,2.74400000
XLMBUSD,0.41390000
ADABUSD,2.19000000
CTXCBNB,0.00412200
CTXCBTC,0.00000389
CTXCUSDT,0.23650000
BCHBNB,1.35900000
BCHBTC,0.01040000
BCHUSDT,634.10000000
BCHUSDC,634.50000000
BCHTUSD,630.00000000
BCHPAX,617.72000000
BCHBUSD,634.30000000
BTCRUB,4338556.00000000
ETHRUB,274813.90000000
XRPRUB,81.56000000
BNBRUB,33273.27000000
TROYBNB,0.00004216
TROYBTC,0.00000018
TROYUSDT,0.01977200
BUSDRUB,71.18000000
QTUMBUSD,12.79000000
VETBUSD,0.12020000
VITEBNB,0.00070700
VITEBTC,0.00000150
VITEUSDT,0.09117000
FTTBNB,0.12110000
FTTBTC,0.00092690
FTTUSDT,56.52000000
BTCTRY,562575.00000000
BNBTRY,4306.00000000
BUSDTRY,9.22400000
ETHTRY,35612.00000000
XRPTRY,10.56900000
USDTTRY,9.22500000
USDTRUB,71.19000000
BTCEUR,52460.01000000
ETHEUR,3322.55000000
BNBEUR,401.40000000
XRPEUR,0.98610000
EURBUSD,1.16300000
EURUSDT,1.16200000
OGNBNB,0.00183400
OGNBTC,0.00001403
OGNUSDT,0.85650000
DREPBNB,0.00009380
DREPBTC,0.00001104
DREPUSDT,0.67290000
BULLUSDT,1370.28000000
BULLBUSD,1368.56000000
BEARUSDT,11.16000000
BEARBUSD,11.14000000
ETHBULLUSDT,79.18000000
ETHBULLBUSD,78.46000000
ETHBEARUSDT,12.20000000
ETHBEARBUSD,12.24000000
TCTBNB,0.00041860
TCTBTC,0.00000057
TCTUSDT,0.03525000
WRXBNB,0.00277600
WRXBTC,0.00002126
WRXUSDT,1.29500000
ICXBUSD,2.02500000
BTSUSDT,0.05012000
BTSBUSD,0.01930000
LSKUSDT,3.44000000
BNTUSDT,4.12000000
BNTBUSD,4.12500000
LTOBNB,0.00248000
LTOBTC,0.00000473
LTOUSDT,0.28910000
ATOMBUSD,33.39000000
DASHBUSD,193.00000000
NEOBUSD,44.54000000
WAVESBUSD,29.43000000
XTZBUSD,6.89900000
EOSBULLUSDT,3.85000000
EOSBULLBUSD,3.90000000
EOSBEARUSDT,30.21000000
EOSBEARBUSD,29.81000000
XRPBULLUSDT,8.74000000
XRPBULLBUSD,8.78000000
XRPBEARUSDT,548.55000000
XRPBEARBUSD,547.33000000
BATBUSD,0.70710000
ENJBUSD,1.71600000
NANOBUSD,5.40000000
ONTBUSD,0.95910000
RVNBUSD,0.10989000
STRATBUSD,0.49150000
