Open Time,Open,High,Low,Close,Volume
2021-10-11 19:28:00,57629.32,57630.37,57606.73,57613.52,1.90581
2021-10-11 19:29:00,57606.39,57606.39,57586.68,57586.68,0.55574
2021-10-11 19:30:00,57599.98,57636.97,57599.98,57629.9,0.48589
2021-10-11 19:31:00,57621.0,57636.97,57620.38,57632.04,0.72463
2021-10-11 19:32:00,57636.32,57638.49,57627.04,57631.57,0.16191
2021-10-11 19:33:00,57639.85,57739.74,57639.85,57739.47,2.53655
2021-10-11 19:34:00,57753.35,57777.0,57700.28,57705.11,0.99455
2021-10-11 19:35:00,57697.63,57697.63,57549.0,57656.37,2.23667
2021-10-11 19:36:00,57662.05,57663.51,57565.24,57599.35,2.28455
2021-10-11 19:37:00,57604.42,57656.56,57604.42,57642.31,0.16817
2021-10-11 19:38:00,57629.95,57708.93,57629.95,57708.93,0.1323
2021-10-11 19:39:00,57673.16,57682.21,57654.5,57654.5,0.34003
2021-10-11 19:40:00,57728.36,57728.36,57696.87,57696.87,0.35028
2021-10-11 19:41:00,57672.02,57680.12,57645.2,57657.58,0.51111
2021-10-11 19:42:00,57653.21,57734.52,57653.21,57723.68,2.04281
2021-10-11 19:43:00,57736.06,57769.09,57710.57,57713.17,7.67227
2021-10-11 19:44:00,57719.19,57750.77,57719.19,57726.47,0.3349
2021-10-11 19:45:00,57737.17,57766.39,57697.45,57759.93,2.61525
2021-10-11 19:46:00,57760.07,57850.0,57747.38,57761.79,1.971334
2021-10-11 19:47:00,57772.56,57772.56,57655.67,57701.11,2.91401
2021-10-11 19:48:00,57714.96,57720.64,57651.01,57651.01,1.09682
2021-10-11 19:49:00,57660.58,57721.14,57624.09,57652.5,8.3583
2021-10-11 19:50:00,57653.41,57653.41,57607.01,57639.14,2.98076
2021-10-11 19:51:00,57648.59,57697.18,57607.01,57607.98,1.16353
2021-10-11 19:52:00,57614.18,57617.98,57525.16,57553.57,4.13866
2021-10-11 19:53:00,57591.43,57597.58,57544.26,57563.48,1.10283
2021-10-11 19:54:00,57547.22,57583.07,57542.04,57553.63,0.92343
2021-10-11 19:55:00,57559.48,57614.88,57547.19,57591.28,0.65635
2021-10-11 19:56:00,57576.71,57614.38,57576.71,57607.52,0.23873
2021-10-11 19:57:00,57612.64,57612.64,57524.51,57524.51,3.06922
2021-10-11 19:58:00,57508.2,57570.49,57480.01,57570.49,2.14169
2021-10-11 19:59:00,57527.85,57553.73,57481.78,57487.15,0.83578
2021-10-11 20:00:00,57497.69,57506.75,57389.2,57423.84,2.13782
2021-10-11 20:01:00,57436.13,57436.13,57351.54,57373.47,3.85641
2021-10-11 20:02:00,57357.49,57363.88,57301.52,57330.52,0.61841
2021-10-11 20:03:00,57305.22,57305.22,57124.93,57124.93,4.39635
2021-10-11 20:04:00,57157.63,57279.54,57100.0,57179.2,10.35648
2021-10-11 20:05:00,57193.38,57335.95,57193.38,57316.56,0.54878
2021-10-11 20:06:00,57319.27,57359.39,57316.27,57316.27,0.69011
2021-10-11 20:07:00,57316.14,57329.33,57202.85,57329.33,4.06629
2021-10-11 20:08:00,57325.0,57326.16,57246.11,57255.81,0.42011
2021-10-11 20:09:00,57249.8,57249.8,57124.63,57124.63,3.62034
2021-10-11 20:10:00,57117.19,57224.51,57039.84,57098.43,2.41555
2021-10-11 20:11:00,57090.68,57090.68,56818.11,56818.11,15.99355
2021-10-11 20:12:00,56816.94,57029.4,56803.69,56971.18,5.57947
2021-10-11 20:13:00,56987.14,57042.84,56958.26,56966.77,1.95165
2021-10-11 20:14:00,56989.46,57015.26,56959.13,56979.56,1.07744
2021-10-11 20:15:00,56989.6,57050.0,56920.08,57045.57,1.70032
2021-10-11 20:16:00,57068.11,57204.77,57064.74,57204.77,0.69075
2021-10-11 20:17:00,57183.7,57290.62,57183.7,57257.98,1.21607
