Open Time,Open,High,Low,Close,Volume
1629523140000,48920.49,48921.41,48890.14,48916.29,0.860441
1629523200000,48916.29,48931.17,48871.24,48899.27,0.698724
1629523260000,48903.08,48972.02,48903.08,48951.61,1.846564
1629523320000,48964.81,48976.04,48957.79,48964.02,0.426372
1629523380000,48941.47,48946.17,48925.7,48946.04,0.963803
1629523440000,48940.92,48943.24,48933.91,48943.24,0.188937
1629523500000,48941.14,48941.14,48918.88,48924.49,0.708839
1629523560000,48896.93,48922.5,48896.93,48899.93,0.123922
1629523620000,48915.65,48944.74,48893.05,48907.87,0.942258
1629523680000,48912.5,48912.5,48897.34,48909.69,0.196862
1629523740000,48907.84,48924.83,48907.84,48924.83,0.01585
1629523800000,48914.97,48943.6,48914.97,48922.0,0.577176
1629523860000,48917.4,48950.98,48917.0,48950.98,6.533826
1629523920000,48944.01,48944.01,48908.65,48916.88,2.010788
1629523980000,48912.77,48912.77,48884.35,48898.0,0.709059
1629524040000,48895.0,48916.03,48889.84,48908.84,3.408331
1629524100000,48900.92,48900.92,48860.22,48863.69,0.395626
1629524160000,48865.66,48871.93,48859.99,48861.04,1.20058
1629524220000,48849.35,48867.67,48849.35,48862.62,0.094446
1629524280000,48862.16,48862.16,48822.06,48831.56,3.901568
1629524340000,48826.63,48855.84,48818.47,48833.44,0.368133
1629524400000,48830.04,48838.05,48807.21,48807.21,1.464774
1629524460000,48803.01,48834.01,48801.88,48822.51,0.375126
1629524520000,48833.8,48833.8,48772.94,48788.69,3.187567
1629524580000,48786.39,48812.78,48773.0,48803.49,0.786056
1629524640000,48816.31,48821.77,48801.95,48807.86,0.101146
1629524700000,48814.87,48814.88,48761.55,48765.84,2.187767
1629524760000,48772.54,48798.2,48761.54,48798.2,0.815499
1629524820000,48772.85,48788.28,48763.79,48782.49,0.328815
1629524880000,48782.49,48782.49,48757.57,48763.1,1.436175
1629524940000,48766.96,48787.32,48754.97,48775.07,1.397478
1629525000000,48779.6,48812.07,48774.88,48806.05,0.275692
1629525060000,48817.28,48836.76,48815.76,48836.76,0.19683
1629525120000,48821.03,48842.59,48794.69,48794.69,0.589813
1629525180000,48785.3,48797.52,48769.67,48797.52,0.563318
1629525240000,48811.32,48811.32,48792.45,48796.06,0.03985
1629525300000,48803.27,48803.27,48787.09,48789.53,0.683142
1629525360000,48786.16,48788.61,48784.85,48786.35,0.036619
1629525420000,48788.15,48837.34,48782.22,48837.34,0.252882
1629525480000,48873.04,48907.06,48868.64,48875.46,1.223701
1629525540000,48884.5,48884.5,48854.25,48854.71,0.572757
1629525600000,48849.71,48849.71,48817.46,48818.72,0.519237
1629525660000,48809.76,48842.95,48809.01,48832.58,3.337009
1629525720000,48827.12,48832.87,48823.41,48830.38,0.255007
1629525780000,48829.71,48847.32,48797.08,48798.39,0.671463
1629525840000,48800.0,48803.55,48781.08,48791.07,0.632183
1629525900000,48788.33,48788.33,48781.62,48783.75,0.201583
1629525960000,48770.56,48770.56,48745.19,48762.0,0.775909
1629526020000,48763.65,48793.5,48763.65,48793.5,0.433139
1629526080000,48783.62,48791.06,48778.73,48791.06,0.425803
1629526140000,48791.06,48820.2,48779.34,48817.0,1.255404
1629526200000,48819.41,48820.66,48805.04,48810.45,0.323424
1629526260000,48810.45,48818.21,48810.38,48818.21,0.019908
1629526320000,48809.61,48813.89,48804.97,48804.97,0.068849
1629526380000,48803.0,48803.0,48776.6,48776.6,0.35411
1629526440000,48778.39,48823.12,48778.39,48807.69,0.280852
1629526500000,48820.68,48840.4,48819.5,48836.49,0.077487
1629526560000,48832.57,48832.57,48823.99,48824.66,0.249196
1629526620000,48827.34,48827.34,48807.06,48812.39,0.643851
1629526680000,48812.39,48812.39,48785.43,48791.22,0.358426
1629526740000,48790.47,48790.47,48758.2,48767.69,0.358773
1629526800000,48770.32,48772.75,48741.29,48746.43,1.682888
1629526860000,48745.63,48764.8,48744.75,48756.11,1.091162
1629526920000,48755.19,48756.17,48742.3,48750.85,0.755892
1629526980000,48745.26,48790.28,48706.27,48790.28,2.057506
1629527040000,48789.5,48846.56,48789.5,48846.56,2.057068
1629527100000,48830.14,48830.14,48811.8,48826.84,0.569623
1629527160000,48802.07,48814.84,48784.39,48784.93,0.064072
1629527220000,48786.43,48832.51,48786.43,48830.16,0.395926
1629527280000,48824.97,48831.22,48789.53,48795.67,0.967299
1629527340000,48795.01,48815.44,48791.33,48815.44,0.489433
1629527400000,48782.1,48782.1,48750.83,48751.99,0.126659
1629527460000,48761.46,48761.46,48739.21,48739.68,1.0348
1629527520000,48739.68,48775.5,48732.89,48732.89,0.922228
1629527580000,48725.91,48753.57,48692.14,48720.87,1.961277
1629527640000,48729.28,48745.83,48702.98,48726.02,1.088438
1629527700000,48735.73,48743.49,48704.88,48704.88,2.689933
1629527760000,48705.22,48748.45,48705.05,48726.6,2.202631
1629527820000,48720.24,48746.62,48700.02,48702.45,1.141554
1629527880000,48709.29,48737.86,48708.12,48709.32,2.636874
1629527940000,48709.32,48739.22,48698.15,48739.22,0.54292
1629528000000,48730.84,48730.84,48706.4,48706.4,1.846953
1629528060000,48700.0,48734.82,48695.79,48734.82,0.376171
1629528120000,48740.98,48740.98,48714.27,48719.92,0.807309
1629528180000,48717.2,48717.2,48681.24,48681.24,1.266648
1629528240000,48678.22,48724.71,48678.22,48722.15,0.151719
1629528300000,48722.15,48722.15,48722.15,48722.15,0.0
1629528360000,48690.1,48706.19,48688.54,48706.19,0.031819
1629528420000,48701.81,48701.81,48692.52,48692.52,0.02859
1629528480000,48701.66,48718.27,48701.66,48708.7,0.629874
1629528540000,48719.23,48732.71,48710.5,48732.71,0.09114
1629528600000,48731.82,48731.82,48704.59,48713.09,0.125766
1629528660000,48715.81,48715.83,48675.51,48675.51,0.347698
1629528720000,48678.84,48679.07,48634.09,48634.09,0.210683
1629528780000,48632.9,48663.68,48632.9,48656.95,0.506566
1629528840000,48633.78,48651.7,48633.78,48651.7,0.075429
