Open,High,Low,Close,Volume
54104.18,54169.17,54099.81,54148.97,0.7234
54126.16,54148.11,54109.33,54109.33,0.22165
54109.33,54120.01,54078.79,54083.49,0.18474
54100.48,54110.35,54077.42,54110.07,0.7266
54093.59,54106.7,54083.33,54085.17,0.19205
54105.67,54129.35,54101.94,54101.94,4.21571
54117.06,54135.06,54111.93,54126.31,0.04952
54072.0,54072.0,54046.15,54058.09,0.5553
54066.73,54084.28,54045.62,54079.67,0.38512
54076.67,54077.8,54046.41,54048.6,0.09031
54028.24,54044.13,54016.86,54037.15,0.01848
54040.67,54051.93,54040.66,54048.25,0.55068
54034.68,54073.55,54026.85,54043.31,0.21978
54019.54,54019.54,54019.54,54019.54,0.00352
54034.43,54034.43,54019.22,54025.75,0.06683
54045.42,54045.42,54019.99,54043.8,0.23689
54019.92,54033.55,54002.42,54009.06,0.55493
54029.39,54029.39,54004.62,54004.62,0.01054
54004.66,54014.05,53923.05,53933.64,3.649
53927.79,53952.78,53905.67,53906.42,0.54451
53934.1,53934.1,53921.69,53921.7,0.10092
53928.22,53992.7,53928.22,53966.06,0.26581
53971.67,54026.18,53971.67,54008.9,0.18736
54017.19,54034.67,54004.76,54022.24,0.06947
54007.14,54017.96,53975.95,54007.11,0.35642
54017.65,54037.6,54000.25,54037.6,0.08231
54026.12,54068.06,54017.45,54034.24,2.01278
54076.39,54078.79,54059.96,54059.96,0.24898
54035.29,54036.0,54023.33,54023.33,0.13725
54006.24,54006.24,53929.54,53929.54,0.08557
53944.61,53999.05,53930.32,53999.05,0.15884
54014.72,54022.13,53985.08,54001.24,0.56932
53986.98,53986.98,53972.19,53972.19,0.04932
53985.46,53985.46,53944.05,53977.41,0.11504
53979.06,53979.06,53937.01,53956.1,0.62219
53943.56,53960.12,53904.39,53948.6,1.06539
53952.16,53955.99,53947.56,53948.68,0.06766
53936.44,53958.4,53927.31,53958.4,0.1987
53957.27,53959.29,53955.02,53955.02,0.05445
53954.73,53975.61,53954.73,53975.61,0.0721
53968.07,54013.24,53968.07,53998.68,0.19746
54005.33,54071.39,53998.74,54071.39,0.4457
54057.6,54176.03,54046.11,54157.15,0.67903
54155.31,54177.01,54147.58,54163.83,0.55632
54174.11,54187.16,54133.72,54151.37,0.92941
54171.6,54197.47,54153.11,54189.81,0.31959
54179.29,54179.29,54179.29,54179.29,0.01006
54198.05,54234.78,54172.95,54209.25,0.79786
54207.25,54269.13,54207.25,54268.35,0.45902
54272.5,54275.2,54222.63,54241.64,0.16419
54244.12,54250.84,54231.71,54246.46,0.21429
54234.32,54243.47,54206.46,54233.03,0.91695
54237.6,54237.6,54193.19,54196.39,0.11824
54197.6,54224.07,54172.9,54194.03,0.75968
54184.28,54223.29,54176.39,54218.31,1.56673
54204.59,54204.59,54156.76,54156.76,0.23304
54167.46,54175.42,54156.76,54162.66,0.05246
54177.05,54210.63,54174.07,54205.0,0.13901
54170.34,54219.66,54160.43,54206.9,0.19619
54208.08,54208.08,54164.48,54186.51,0.11402
54186.51,54193.57,54169.45,54191.72,0.18944
54168.86,54227.77,54168.85,54219.65,1.26038
54222.78,54264.39,54222.78,54254.4,0.11583
54241.28,54261.01,54221.7,54251.3,0.19077
54240.62,54251.12,54234.66,54246.06,0.27574
54242.25,54248.05,54241.96,54241.96,0.03067
54221.8,54230.78,54214.38,54225.23,0.20741
54223.31,54254.87,54210.08,54248.37,0.14801
54240.41,54240.41,54199.66,54214.11,0.39592
54210.37,54210.77,54147.58,54178.15,1.72346
54182.86,54182.86,54171.08,54171.08,0.00946
54174.02,54174.02,54167.08,54171.38,0.11376
54171.38,54171.38,54122.21,54147.94,0.20651
54147.63,54168.53,54140.13,54155.33,0.12233
54167.63,54188.57,54155.33,54187.53,0.02738
54191.12,54202.07,54162.98,54185.75,0.09945
54177.09,54190.56,54177.09,54190.55,0.01769
54165.92,54346.87,54161.58,54298.48,3.0006
54269.55,54275.26,54148.49,54174.52,0.58467
54175.98,54182.58,54162.64,54182.58,0.09317
54205.28,54230.81,54199.87,54200.0,0.26891
54189.0,54227.27,54166.55,54193.22,0.27235
54205.59,54205.59,54153.16,54156.17,0.0805
54169.82,54169.82,54146.38,54146.38,0.04391
54146.38,54147.46,54077.84,54146.62,2.83467
54151.53,54202.37,54151.53,54167.07,0.07344
54199.44,54216.89,54199.44,54201.46,0.06713
54213.51,54213.51,54197.1,54200.03,0.15735
54217.02,54242.27,54196.42,54196.42,0.23747
54217.33,54243.37,54209.55,54222.85,0.37613
54222.56,54255.8,54216.77,54223.89,1.41987
54250.09,54295.09,54243.77,54248.78,0.73439
54242.85,54273.84,54226.89,54234.08,0.28887
54241.44,54249.64,54232.11,54233.16,0.08321
54245.75,54263.84,54231.79,54243.01,0.20771
54242.59,54271.47,54218.18,54258.28,0.10807
54265.28,54293.64,54250.44,54256.48,0.78655
54254.81,54260.06,54241.07,54242.32,0.02143
54242.93,54351.21,54242.93,54300.41,1.38604
54312.82,54340.48,54305.1,54316.9,0.36874
54280.24,54300.1,54280.24,54281.52,0.26014
54287.98,54335.55,54276.73,54317.21,1.30821
54297.18,54304.29,54274.66,54300.75,0.10564
54309.04,54339.93,54305.85,54339.93,0.14439
54320.98,54352.42,54320.98,54352.42,0.23465
54352.41,54357.06,54342.91,54357.06,0.02124
54351.97,54358.69,54328.02,54328.02,0.18114
