,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2020-09-23 16:59:59.999,1600819200000,344.18000000,344.65000000,313.29000000,320.72000000,940904.49756000,1600905599999,313808761.09043880,323226,451952.70895000,150859607.76494990,0
2020-09-24 16:59:59.999,1600905600000,320.72000000,353.10000000,316.67000000,348.97000000,1071705.09721000,1600991999999,360708689.40437970,371450,541195.93188000,182260574.83696910,0
2020-09-25 16:59:59.999,1600992000000,348.97000000,358.00000000,337.58000000,351.92000000,860643.77924000,1601078399999,298266918.80064850,310536,428498.41778000,148520979.71553270,0
2020-09-26 16:59:59.999,1601078400000,351.93000000,356.40000000,345.88000000,353.92000000,530879.20755000,1601164799999,186812160.37543690,217834,265973.62355000,93597365.18627900,0
2020-09-27 16:59:59.999,1601164800000,353.95000000,362.14000000,347.24000000,357.49000000,569568.55041000,1601251199999,202411362.68323290,230526,278104.49527000,98851342.51735050,0
2020-09-28 16:59:59.999,1601251200000,357.58000000,368.20000000,351.70000000,353.96000000,757758.43040000,1601337599999,273063157.78999110,261317,365322.52821000,131705221.49365880,0
2020-09-29 16:59:59.999,1601337600000,353.91000000,360.63000000,350.45000000,359.79000000,585143.16892000,1601423999999,208028826.48711650,214988,296028.84893000,105268925.80294570,0
2020-09-30 16:59:59.999,1601424000000,359.78000000,361.50000000,351.56000000,359.83000000,498943.23226000,1601510399999,177784824.51781920,173910,258138.87585000,92021033.11709650,0
2020-10-01 16:59:59.999,1601510400000,359.83000000,370.45000000,345.51000000,352.85000000,758349.31959000,1601596799999,271468849.79851160,288354,361455.09687000,129606992.62340270,0
2020-10-02 16:59:59.999,1601596800000,352.83000000,354.55000000,334.24000000,345.60000000,733571.84211000,1601683199999,251829017.51948020,286023,359044.99342000,123230178.01440740,0
2020-10-03 16:59:59.999,1601683200000,345.60000000,351.00000000,343.70000000,345.95000000,303595.71901000,1601769599999,105401893.35734360,136755,157899.99434000,54819449.94469700,0
2020-10-04 16:59:59.999,1601769600000,345.94000000,354.45000000,343.81000000,352.37000000,343932.91712000,1601855999999,119961274.70065720,138736,168705.23259000,58850037.60413940,0
2020-10-05 16:59:59.999,1601856000000,352.34000000,356.10000000,348.54000000,353.62000000,376740.30692000,1601942399999,132656713.04409390,145787,185554.40142000,65347144.97328110,0
2020-10-06 16:59:59.999,1601942400000,353.63000000,355.10000000,336.80000000,340.75000000,640063.26951000,1602028799999,221765553.58680910,240812,311147.69014000,107797282.75783230,0
2020-10-07 16:59:59.999,1602028800000,340.80000000,342.85000000,332.18000000,341.58000000,541928.86376000,1602115199999,183873686.39043150,195112,267972.41424000,90930067.04391160,0
2020-10-08 16:59:59.999,1602115200000,341.58000000,353.32000000,334.21000000,350.95000000,631794.87560000,1602201599999,217322066.97802380,220053,332296.23857000,114406629.96863650,0
2020-10-09 16:59:59.999,1602201600000,350.94000000,368.33000000,347.32000000,365.02000000,650478.19338000,1602287999999,232878561.88521360,241168,347090.04670000,124302113.23120810,0
2020-10-10 16:59:59.999,1602288000000,365.01000000,378.40000000,364.71000000,370.52000000,591005.32129000,1602374399999,220607973.01227310,253825,299965.65391000,111977478.87854210,0
2020-10-11 16:59:59.999,1602374400000,370.51000000,377.60000000,368.87000000,374.16000000,373318.23779000,1602460799999,139329772.54031670,164475,187969.33051000,70162446.92701300,0
2020-10-12 16:59:59.999,1602460800000,374.17000000,394.80000000,365.58000000,386.51000000,844422.65444000,1602547199999,320587055.52979570,309500,427311.17538000,162322201.34325680,0
2020-10-13 16:59:59.999,1602547200000,386.51000000,387.75000000,374.51000000,381.04000000,645141.91394000,1602633599999,246276552.00902270,239460,315226.91813000,120349073.75065890,0
2020-10-14 16:59:59.999,1602633600000,381.05000000,387.41000000,373.13000000,378.69000000,569557.82936000,1602719999999,216288026.95920860,214375,278390.33609000,105736024.77958970,0
2020-10-15 16:59:59.999,1602720000000,378.69000000,381.79000000,369.85000000,377.64000000,634038.09453000,1602806399999,238396852.78392820,228454,308053.83962000,115864353.66265170,0
2020-10-16 16:59:59.999,1602806400000,377.63000000,379.83000000,361.18000000,365.50000000,654029.36404000,1602892799999,241127894.70245080,255775,308695.25396000,113825303.52954540,0
2020-10-17 16:59:59.999,1602892800000,365.50000000,370.46000000,363.36000000,368.32000000,285578.24537000,1602979199999,104838880.45610340,126045,139908.84552000,51365997.42640250,0
2020-10-18 16:59:59.999,1602979200000,368.31000000,378.64000000,367.10000000,378.11000000,323468.47095000,1603065599999,120818450.62118030,133043,166936.80184000,62359187.49284320,0
2020-10-19 16:59:59.999,1603065600000,378.12000000,384.32000000,372.50000000,379.30000000,577252.90265000,1603151999999,218372639.95702320,224887,281217.97666000,106363380.19858650,0
2020-10-20 16:59:59.999,1603152000000,379.30000000,380.73000000,365.27000000,368.52000000,617309.81677000,1603238399999,229928443.79691000,251051,288156.13039000,107315894.51408450,0
2020-10-21 16:59:59.999,1603238400000,368.53000000,401.49000000,367.74000000,390.38000000,1221663.63784000,1603324799999,472488832.71627450,450963,632070.29962000,244519977.28209820,0
2020-10-22 16:59:59.999,1603324800000,390.31000000,420.73000000,390.21000000,413.98000000,1095897.20667000,1603411199999,447211002.50125880,412013,560444.09814000,228790705.50160170,0
2020-10-23 16:59:59.999,1603411200000,413.94000000,419.33000000,401.30000000,409.11000000,727832.32240000,1603497599999,299943190.93063720,293671,353573.61208000,145754753.83309310,0
2020-10-24 16:59:59.999,1603497600000,409.19000000,416.66000000,407.00000000,412.14000000,419236.87106000,1603583999999,172799824.64868200,182680,207090.61075000,85377261.16253270,0
2020-10-25 16:59:59.999,1603584000000,412.14000000,417.40000000,402.50000000,405.86000000,415586.97610000,1603670399999,170054743.31874520,177854,192487.98412000,78807422.93383440,0
2020-10-26 16:59:59.999,1603670400000,405.85000000,411.11000000,382.30000000,392.52000000,895142.67266000,1603756799999,356208480.58571190,329493,408392.37075000,162532499.76636610,0
2020-10-27 16:59:59.999,1603756800000,392.52000000,410.25000000,389.90000000,403.45000000,754244.37552000,1603843199999,302522886.82653000,286217,373014.52987000,149645515.38216060,0
