Time,Open,High,Low,Close,Volume
2021-10-05 02:38:00,49169.77,49222.06,49165.91,49216.68,17.94778
2021-10-05 02:39:00,49216.69,49226.25,49192.77,49195.56,11.89361
2021-10-05 02:40:00,49195.55,49226.25,49195.42,49226.25,11.81894
2021-10-05 02:41:00,49226.25,49242.99,49195.0,49195.01,10.53973
2021-10-05 02:42:00,49195.01,49214.81,49167.0,49182.91,14.78303
2021-10-05 02:43:00,49182.91,49209.04,49177.29,49206.34,13.4038
2021-10-05 02:44:00,49206.34,49233.14,49204.1,49233.14,15.56146
2021-10-05 02:45:00,49233.14,49294.0,49222.79,49290.36,23.52646
2021-10-05 02:46:00,49290.36,49339.44,49286.94,49303.58,33.43136
2021-10-05 02:47:00,49303.57,49340.09,49285.0,49320.48,26.18357
2021-10-05 02:48:00,49320.49,49350.0,49311.24,49324.02,18.76144
2021-10-05 02:49:00,49324.03,49333.22,49300.0,49310.39,16.20021
2021-10-05 02:50:00,49310.38,49349.2,49304.01,49323.87,30.40767
2021-10-05 02:51:00,49323.87,49340.0,49321.23,49339.99,14.40289
2021-10-05 02:52:00,49339.99,49362.06,49323.94,49334.69,21.1073
2021-10-05 02:53:00,49334.69,49341.04,49288.26,49307.23,26.53985
2021-10-05 02:54:00,49307.23,49307.23,49284.73,49285.89,11.88184
2021-10-05 02:55:00,49285.88,49296.31,49263.72,49272.62,12.76574
2021-10-05 02:56:00,49272.62,49314.66,49272.62,49292.68,20.41708
2021-10-05 02:57:00,49292.69,49304.92,49272.63,49298.6,12.77571
2021-10-05 02:58:00,49298.6,49333.99,49297.29,49330.45,13.44848
2021-10-05 02:59:00,49330.45,49336.53,49311.48,49324.82,19.27726
2021-10-05 03:00:00,49324.82,49340.0,49300.72,49317.96,24.29891
2021-10-05 03:01:00,49317.97,49387.75,49314.14,49387.75,22.96762
2021-10-05 03:02:00,49387.03,49389.22,49363.57,49382.0,22.11824
2021-10-05 03:03:00,49381.99,49410.25,49374.0,49410.24,33.33795
2021-10-05 03:04:00,49410.24,49427.0,49390.89,49415.39,26.23567
2021-10-05 03:05:00,49415.38,49426.7,49411.0,49414.0,20.49165
2021-10-05 03:06:00,49414.0,49460.96,49410.0,49459.0,24.96926
2021-10-05 03:07:00,49459.01,49462.94,49420.95,49450.0,23.44484
