,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-10-05 03:24:59.999,1633429200000,50173.45000000,50234.29000000,50103.15000000,50107.26000000,134.67869000,1633429499999,6756309.29458750,4680,64.52929000,3237126.48989430,0
2021-10-05 03:29:59.999,1633429500000,50107.26000000,50250.00000000,50107.26000000,50233.32000000,202.99552000,1633429799999,10189986.02377970,5453,136.20296000,6836749.99187010,0
2021-10-05 03:34:59.999,1633429800000,50233.32000000,50265.72000000,50127.00000000,50163.89000000,126.51355000,1633430099999,6350378.75695090,4126,49.97448000,2508170.66883720,0
2021-10-05 03:39:59.999,1633430100000,50163.88000000,50200.00000000,50100.00000000,50118.99000000,109.41109000,1633430399999,5487045.62116630,3468,44.72194000,2243040.65288650,0
2021-10-05 03:44:59.999,1633430400000,50118.99000000,50131.15000000,50061.75000000,50074.58000000,151.19547000,1633430699999,7575334.80073830,4454,63.22168000,3167642.52803870,0
2021-10-05 03:49:59.999,1633430700000,50074.59000000,50077.00000000,49968.17000000,50008.24000000,254.14608000,1633430999999,12710810.56757260,6367,96.87737000,4845442.76122380,0
2021-10-05 03:54:59.999,1633431000000,50008.23000000,50010.81000000,49839.26000000,49923.65000000,237.49654000,1633431299999,11856312.38433530,8958,111.95087000,5588478.64469440,0
2021-10-05 03:59:59.999,1633431300000,49923.66000000,50033.26000000,49923.65000000,49999.99000000,129.36157000,1633431599999,6467332.24201470,4553,80.67208000,4033261.30569410,0
2021-10-05 04:04:59.999,1633431600000,49999.99000000,50069.73000000,49938.58000000,49957.06000000,132.03675000,1633431899999,6603331.29186440,4423,61.41918000,3071458.10949850,0
2021-10-05 04:09:59.999,1633431900000,49957.07000000,50037.51000000,49940.00000000,49965.23000000,118.86825000,1633432199999,5941109.29372980,3646,42.68986000,2133921.02573560,0
2021-10-05 04:14:59.999,1633432200000,49965.22000000,50059.99000000,49935.51000000,50058.83000000,130.07219000,1633432499999,6503975.28462430,4078,77.88664000,3894669.67465770,0
2021-10-05 04:19:59.999,1633432500000,50058.83000000,50140.29000000,50029.78000000,50117.43000000,123.27927000,1633432799999,6176212.21811560,4245,83.53013000,4184975.15826900,0
2021-10-05 04:24:59.999,1633432800000,50117.44000000,50145.88000000,50082.20000000,50130.06000000,123.96959000,1633433099999,6212603.58593250,3826,78.87366000,3952675.49635230,0
2021-10-05 04:29:59.999,1633433100000,50130.05000000,50134.01000000,50059.00000000,50107.33000000,112.23609000,1633433399999,5622614.90249900,3668,62.37690000,3124913.34169660,0
2021-10-05 04:34:59.999,1633433400000,50107.33000000,50119.50000000,50059.00000000,50062.88000000,104.32082000,1633433699999,5225940.50835850,3246,49.99966000,2504810.97125270,0
2021-10-05 04:39:59.999,1633433700000,50062.89000000,50079.49000000,49915.95000000,49939.74000000,147.58605000,1633433999999,7378229.32458830,4506,55.51298000,2775430.97460060,0
2021-10-05 04:44:59.999,1633434000000,49940.05000000,50014.43000000,49897.23000000,49901.17000000,167.33964000,1633434299999,8361611.00550700,4007,51.95145000,2596052.24662060,0
2021-10-05 04:49:59.999,1633434300000,49901.18000000,49977.99000000,49888.88000000,49948.81000000,120.22284000,1633434599999,6004424.36028250,3317,53.71568000,2682658.04840410,0
2021-10-05 04:54:59.999,1633434600000,49948.80000000,49992.19000000,49922.54000000,49938.02000000,113.16210000,1633434899999,5653341.46181350,3317,44.63124000,2229532.93776020,0
2021-10-05 04:59:59.999,1633434900000,49938.01000000,49938.02000000,49801.74000000,49877.06000000,218.57634000,1633435199999,10902741.37735630,6383,89.70002000,4474293.85634740,0
2021-10-05 05:04:59.999,1633435200000,49877.06000000,49924.43000000,49737.20000000,49819.00000000,432.43915000,1633435499999,21558591.75876220,8856,176.14334000,8784428.27132500,0
2021-10-05 05:09:59.999,1633435500000,49819.00000000,49863.63000000,49705.00000000,49837.32000000,218.79046000,1633435799999,10891534.02941030,6696,108.35323000,5394185.04023020,0
2021-10-05 05:14:59.999,1633435800000,49837.33000000,49910.10000000,49801.89000000,49868.12000000,118.59935000,1633436099999,5914398.75310950,4986,59.74469000,2979341.27832640,0
2021-10-05 05:19:59.999,1633436100000,49868.12000000,50029.44000000,49851.00000000,49975.44000000,260.54059000,1633436399999,13011322.08781520,6740,180.59875000,9020315.44334050,0
2021-10-05 05:24:59.999,1633436400000,49975.44000000,50001.15000000,49871.07000000,49890.94000000,182.02239000,1633436699999,9088747.00861460,5235,72.37149000,3613968.17443830,0
2021-10-05 05:29:59.999,1633436700000,49890.94000000,49920.53000000,49885.00000000,49914.22000000,81.89873000,1633436999999,4086911.32419700,3350,40.47006000,2019489.81990000,0
2021-10-05 05:34:59.999,1633437000000,49914.22000000,49961.00000000,49854.11000000,49913.57000000,104.67525000,1633437299999,5222580.05018020,4959,49.43306000,2466541.74846880,0
