Time,Open,High,Low,Close,Volume
2021-10-08 06:31:00,54139.23,54185.05,54139.23,54168.72,33.42781
2021-10-08 06:32:00,54168.71,54168.72,54147.89,54163.69,21.56575
2021-10-08 06:33:00,54163.68,54185.36,54140.18,54178.96,17.31172
2021-10-08 06:34:00,54178.95,54264.29,54178.95,54241.94,111.617
2021-10-08 06:35:00,54242.23,54286.9,54173.4,54185.78,42.77134
2021-10-08 06:36:00,54185.77,54193.14,54156.71,54156.71,10.25737
2021-10-08 06:37:00,54156.72,54182.64,54136.18,54140.21,24.75605
2021-10-08 06:38:00,54140.2,54140.21,54100.88,54104.79,15.93495
2021-10-08 06:39:00,54104.8,54129.48,54063.06,54063.06,27.73945
2021-10-08 06:40:00,54063.07,54097.46,54063.05,54086.74,19.84298
2021-10-08 06:41:00,54086.73,54099.99,54080.93,54086.95,10.58089
2021-10-08 06:42:00,54086.95,54091.52,54048.41,54048.42,17.96948
2021-10-08 06:43:00,54048.42,54069.7,54047.05,54054.98,13.08913
2021-10-08 06:44:00,54054.98,54095.52,54054.98,54072.01,17.99274
2021-10-08 06:45:00,54072.01,54097.14,54064.79,54097.13,16.48856
2021-10-08 06:46:00,54097.13,54133.17,54095.81,54107.48,20.77358
2021-10-08 06:47:00,54107.47,54135.57,54107.47,54127.29,15.87251
2021-10-08 06:48:00,54127.28,54187.76,54120.0,54150.01,57.76
2021-10-08 06:49:00,54150.0,54162.85,54106.45,54126.33,12.39099
2021-10-08 06:50:00,54126.32,54141.8,54110.74,54114.02,7.46447
2021-10-08 06:51:00,54114.02,54145.42,54114.02,54124.72,11.57157
2021-10-08 06:52:00,54124.72,54149.81,54117.32,54149.8,10.09332
2021-10-08 06:53:00,54149.81,54194.45,54145.77,54180.03,55.05157
2021-10-08 06:54:00,54180.03,54180.45,54147.05,54163.85,47.03467
2021-10-08 06:55:00,54163.86,54165.04,54141.0,54152.44,11.41652
2021-10-08 06:56:00,54152.44,54160.0,54141.0,54153.3,15.98182
2021-10-08 06:57:00,54153.35,54173.0,54149.79,54168.21,15.41565
2021-10-08 06:58:00,54168.22,54168.22,54131.57,54131.57,19.55432
2021-10-08 06:59:00,54131.58,54143.97,54105.53,54110.22,33.74583
2021-10-08 07:00:00,54110.23,54116.64,54108.71,54114.14,2.68438
2021-10-08 07:00:00,54110.23,54182.31,54100.85,54175.3,32.9202
2021-10-08 07:01:00,54175.31,54180.44,54098.05,54103.25,45.08078
2021-10-08 07:02:00,54103.24,54103.24,54000.0,54015.22,29.64066
2021-10-08 07:03:00,54015.23,54055.0,54011.74,54042.34,12.67177
2021-10-08 07:04:00,54042.33,54082.84,54035.16,54063.1,12.77702
2021-10-08 07:05:00,54063.11,54105.19,54063.1,54105.18,23.95588
2021-10-08 07:06:00,54105.19,54146.9,54101.44,54125.82,27.71731
2021-10-08 07:07:00,54125.82,54160.42,54070.0,54160.42,52.21956
2021-10-08 07:08:00,54160.41,54184.99,54140.42,54184.98,20.74095
2021-10-08 07:09:00,54184.99,54236.18,54177.83,54234.18,40.49948
2021-10-08 07:10:00,54234.18,54243.0,54200.0,54208.92,28.22991
2021-10-08 07:11:00,54208.91,54253.27,54208.4,54235.06,77.2676
