,open_time,open,high,low,closed,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-10-05 05:39:59.999,1633437300000,3439.35000000,3443.07000000,3438.02000000,3441.56000000,922.09630000,1633437599999,3173512.58574800,2656,515.07300000,1772771.61276000,0
2021-10-05 05:44:59.999,1633437600000,3441.64000000,3454.98000000,3439.36000000,3452.61000000,1694.39490000,1633437899999,5838646.48823300,3806,1178.52850000,4060513.05982400,0
2021-10-05 05:49:59.999,1633437900000,3452.85000000,3460.00000000,3449.11000000,3449.56000000,1621.97890000,1633438199999,5604727.91543500,4005,774.80840000,2677408.70550000,0
2021-10-05 05:54:59.999,1633438200000,3449.55000000,3461.60000000,3449.11000000,3457.43000000,1610.54550000,1633438499999,5566737.09719000,3583,950.00450000,3283272.38448500,0
2021-10-05 05:59:59.999,1633438500000,3457.44000000,3460.60000000,3450.85000000,3453.81000000,814.44140000,1633438799999,2815233.10924500,2868,370.49030000,1280415.41251700,0
2021-10-05 06:04:59.999,1633438800000,3453.75000000,3453.75000000,3443.07000000,3443.07000000,1248.18670000,1633439099999,4300783.10656100,2851,467.35410000,1610481.21177500,0
2021-10-05 06:09:59.999,1633439100000,3443.07000000,3446.99000000,3436.00000000,3436.01000000,2180.46780000,1633439399999,7507276.40432200,3908,1259.63120000,4337702.56771400,0
2021-10-05 06:14:59.999,1633439400000,3436.00000000,3447.64000000,3434.57000000,3447.20000000,1277.67300000,1633439699999,4396143.17020000,2563,663.75590000,2283827.34313800,0
2021-10-05 06:19:59.999,1633439700000,3447.21000000,3453.95000000,3447.21000000,3453.56000000,821.87830000,1633439999999,2835718.36254700,2166,449.31520000,1550361.77843400,0
2021-10-05 06:24:59.999,1633440000000,3453.57000000,3453.59000000,3443.56000000,3444.06000000,818.53390000,1633440299999,2822431.31035300,2021,317.33230000,1094168.65557700,0
2021-10-05 06:29:59.999,1633440300000,3444.07000000,3445.78000000,3438.84000000,3439.67000000,647.01600000,1633440599999,2226986.88720400,1780,307.75410000,1059301.14162300,0
2021-10-05 06:34:59.999,1633440600000,3439.66000000,3448.00000000,3439.66000000,3448.00000000,794.33270000,1633440899999,2737196.64225000,2046,489.70910000,1687469.64086000,0
2021-10-05 06:39:59.999,1633440900000,3447.99000000,3456.62000000,3447.99000000,3452.63000000,1515.37460000,1633441199999,5231250.41281500,3129,933.48810000,3221750.14927000,0
2021-10-05 06:44:59.999,1633441200000,3452.63000000,3454.52000000,3449.14000000,3450.89000000,640.94710000,1633441499999,2212103.12325700,1743,296.33010000,1022725.55801400,0
2021-10-05 06:49:59.999,1633441500000,3450.89000000,3458.47000000,3450.89000000,3456.51000000,792.17440000,1633441799999,2736377.62448000,2083,382.73860000,1322050.00841800,0
2021-10-05 06:54:59.999,1633441800000,3456.51000000,3462.34000000,3455.64000000,3457.73000000,1745.05700000,1633442099999,6036721.65862700,3491,817.96050000,2829450.91591700,0
2021-10-05 06:59:59.999,1633442100000,3457.73000000,3461.03000000,3454.00000000,3456.81000000,1094.00160000,1633442399999,3782728.72496300,2794,500.68150000,1731082.61924000,0
2021-10-05 07:04:59.999,1633442400000,3457.06000000,3468.89000000,3453.34000000,3460.25000000,2352.99450000,1633442699999,8149852.98187400,5243,1217.35820000,4216399.25466200,0
2021-10-05 07:09:59.999,1633442700000,3460.25000000,3463.14000000,3451.02000000,3452.11000000,1353.19740000,1633442999999,4677120.04702300,3380,556.28880000,1922561.99091300,0
2021-10-05 07:14:59.999,1633443000000,3452.11000000,3455.73000000,3448.57000000,3453.49000000,1364.49940000,1633443299999,4711444.21113100,2897,799.25060000,2759826.02008800,0
2021-10-05 07:19:59.999,1633443300000,3453.49000000,3461.99000000,3450.12000000,3451.23000000,1424.97170000,1633443599999,4925134.60808500,3378,766.80540000,2650318.11264400,0
2021-10-05 07:24:59.999,1633443600000,3451.23000000,3453.93000000,3438.07000000,3440.72000000,2663.26090000,1633443899999,9174379.08508900,5038,964.56860000,3323981.69144300,0
2021-10-05 07:29:59.999,1633443900000,3440.72000000,3447.53000000,3438.07000000,3438.08000000,1683.67550000,1633444199999,5798878.74154600,3030,546.60610000,1882756.56774500,0
2021-10-05 07:34:59.999,1633444200000,3438.07000000,3442.46000000,3432.13000000,3437.00000000,1980.27020000,1633444499999,6807787.79967700,3998,777.83560000,2674381.52957600,0
2021-10-05 07:39:59.999,1633444500000,3437.00000000,3441.16000000,3420.69000000,3421.55000000,4124.66600000,1633444799999,14139950.28746800,7924,1582.34740000,5426402.73892100,0
2021-10-05 07:44:59.999,1633444800000,3421.55000000,3430.61000000,3413.48000000,3428.52000000,3502.03720000,1633445099999,11981765.86299400,10425,1399.64490000,4789894.93811900,0
2021-10-05 07:49:59.999,1633445100000,3428.53000000,3437.68000000,3425.00000000,3432.76000000,1821.73410000,1633445399999,6251919.46478500,3609,931.79320000,3198371.57786500,0
2021-10-05 07:54:59.999,1633445400000,3432.77000000,3437.50000000,3427.00000000,3433.93000000,1104.28260000,1633445699999,3791310.65399100,2642,487.45290000,1673524.90736100,0
2021-10-05 07:59:59.999,1633445700000,3433.78000000,3438.20000000,3430.71000000,3431.01000000,1031.08390000,1633445999999,3541016.18079600,2293,463.98490000,1593480.86061600,0
2021-10-05 08:04:59.999,1633446000000,3431.00000000,3435.84000000,3421.42000000,3425.30000000,1852.35920000,1633446299999,6352693.17788200,3458,1029.67540000,3532394.33372500,0
2021-10-05 08:09:59.999,1633446300000,3425.31000000,3432.52000000,3424.13000000,3432.37000000,1347.28070000,1633446599999,4619460.97698100,3141,666.04830000,2283751.86063600,0
2021-10-05 08:14:59.999,1633446600000,3432.22000000,3444.44000000,3431.20000000,3438.90000000,1256.01180000,1633446899999,4318014.75133200,3132,754.40310000,2593471.73145700,0
2021-10-05 08:19:59.999,1633446900000,3438.89000000,3448.93000000,3438.72000000,3445.69000000,1813.51870000,1633447199999,6248377.67373800,3768,849.36790000,2926378.41023900,0
