Open,High,Low,Close,Volume,actual returns,sma5,sma50,signal
28964.54,29680.0,28608.73,29407.93,1736.62048,,,,0.0
29393.99,33500.0,29027.03,32215.18,4227.234681,0.09545894593737136,,,1.0
32216.13,34851.3,32002.65,33033.26,3523.88112,0.025394239610022407,,,1.0
33040.0,33648.27,28000.0,32017.58,4218.572357,-0.030747192375200072,,,-1.0
32027.11,34498.0,29882.3,34059.7,3150.244271,0.0637812101976476,32146.73,32146.73,1.0
34057.84,37000.0,33343.24,36834.77,4168.293259,0.08147664248363906,33632.098,33632.098,1.0
36859.03,40390.98,36005.0,39494.85,4330.386536,0.07221654974362535,35088.032,35088.032,1.0
39504.38,42037.99,36286.12,40622.89,4042.516723,0.028561698550570558,36605.958,36605.958,1.0
40645.36,41422.59,38717.42,40238.43,2235.391656,-0.009464122321183877,38250.12799999999,38250.12799999999,-1.0
40239.66,41453.67,35105.94,38156.4,3134.32525,-0.05174232692478309,39069.46799999999,39069.46799999999,-1.0
38150.92,38265.27,30239.51,35421.45,7061.733057,-0.07167735949932397,38786.804,38786.804,-1.0
35460.42,36637.61,32504.47,34074.89,4671.208936,-0.03801538333410959,37702.81199999999,37702.81199999999,-1.0
34045.93,37800.0,32344.85,37369.85,4095.861581,0.09669759755644103,37052.20399999999,37052.20399999999,1.0
37369.85,40100.0,36754.17,39094.19,4029.856519,0.04614254539421503,36823.35599999999,36823.35599999999,1.0
39113.82,39689.65,34318.0,36768.77,5308.255743,-0.05948249599237143,36545.829999999994,36545.829999999994,-1.0
36751.33,38000.0,35370.39,35991.67,3225.453099,-0.021134783676473257,36659.87399999999,36659.87399999999,-1.0
35991.66,36847.01,33790.5,35818.76,2757.680853,-0.0048041671864628155,37008.64799999999,37008.64799999999,-1.0
35801.66,37499.92,34761.67,36645.06,2977.824935,0.02306891695859914,36863.68999999999,36863.68999999999,1.0
36645.26,37967.29,35875.72,35875.72,3584.123243,-0.020994371410498314,36219.995999999985,36219.995999999985,-1.0
35928.27,36412.99,33390.93,35509.09,4140.697658,-0.010219446466858462,35968.05999999998,35968.05999999998,-1.0
35478.5,35612.24,30050.0,30841.62,6355.233442,-0.13144437100472017,34938.04999999999,34938.04999999999,-1.0
30845.85,33862.06,28800.0,32994.37,5579.811413,0.06980015965438913,34373.171999999984,34373.171999999984,1.0
32973.31,33485.16,31425.89,32098.02,2427.427146,-0.02716675602534624,33463.76399999998,33463.76399999998,-1.0
32098.02,33096.77,30949.15,32302.42,1680.715239,0.006367994038261493,32749.103999999985,32749.103999999985,1.0
32296.36,34900.0,31927.29,32259.82,3786.754748,-0.0013187866419914762,32099.24999999999,32099.24999999999,-1.0
32259.82,32934.14,30747.24,32499.43,3620.442961,0.007427505795134737,32430.811999999987,32430.811999999987,1.0
32505.08,32573.85,29240.0,30404.7,4569.563129,-0.0644543611995656,31912.87799999999,31912.87799999999,-1.0
30419.72,33848.16,29878.28,33454.22,3955.900068,0.10029765134995583,32184.117999999995,32184.117999999995,1.0
33448.07,38639.19,31977.27,34268.18,7160.952542,0.024330562781018417,32577.269999999997,32577.269999999997,1.0
34250.03,34936.14,32821.83,34311.15,2743.856826,0.0012539329488756579,32987.53599999999,32987.53599999999,1.0
34302.16,34379.02,32200.04,33130.26,2117.537392,-0.03441709182000596,33113.702,33113.702,-1.0
33120.51,34781.92,32324.02,33545.58,2599.698816,0.012535971646464583,33741.87799999999,33741.87799999999,1.0
33530.59,36025.69,33440.86,35516.68,3360.726349,0.058758858842208106,34154.36999999999,34154.36999999999,1.0
35500.0,37685.71,35404.21,37661.46,3210.012506,0.060387964190346644,34833.02599999999,34833.02599999999,1.0
37637.44,38759.09,36192.89,36976.61,3025.320823,-0.018184372034435126,35366.11799999999,35366.11799999999,-1.0
36962.83,38366.53,36606.29,38333.51,2393.116571,0.036696170903714576,36406.76799999999,36406.76799999999,1.0
38341.86,41000.0,38233.51,39256.58,2762.273494,0.024079975979241164,37548.96799999998,37548.96799999998,1.0
39281.34,39742.88,37376.72,38866.41,2805.701513,-0.00993897074070127,38218.91399999998,38218.91399999998,-1.0
38860.36,47500.0,37000.0,46452.01,4452.160613,0.19517110018651063,39977.02399999999,39977.02399999999,1.0
46457.14,48216.56,45000.0,46488.27,4025.386589,0.0007805905492570542,41879.355999999985,41879.355999999985,1.0
46480.68,47379.74,43741.91,44858.18,3472.690116,-0.035064544238793904,43184.28999999998,43184.28999999998,-1.0
44844.88,48692.99,44007.78,47997.3,2685.789315,0.06997876418526117,44932.43399999997,44932.43399999997,1.0
48007.4,48999.0,46191.22,47446.08,3020.949948,-0.01148439599727491,46648.36799999997,46648.36799999997,-1.0
47424.7,48206.2,46210.36,47214.7,2035.610661,-0.0048766937121044185,46800.90599999997,46800.90599999997,-1.0
47227.37,49735.42,47080.0,48629.31,1962.701175,0.02996121970487997,47229.11399999997,47229.11399999997,1.0
48626.59,49033.9,45777.81,47905.52,2384.181723,-0.01488382212291317,47838.58199999997,47838.58199999997,-1.0
47916.82,50644.84,47022.88,49145.89,2585.964327,0.025892005764680093,48068.299999999974,48068.299999999974,1.0
49157.32,52637.5,48950.66,52122.96,2694.39073,0.060576174325055465,49003.67599999998,49003.67599999998,1.0
52147.31,52541.74,50882.83,51592.33,2255.373924,-0.010180350463596,49879.201999999976,49879.201999999976,-1.0
51581.01,56414.43,50627.41,55919.45,2794.088065,0.08387138165692454,51337.22999999998,51337.22999999998,1.0
55919.45,57584.45,53444.57,55900.0,2339.565305,-0.00034782173286751483,52936.125999999975,52936.125999999975,-1.0
